video_name,caption,category
--7E2sU6zP4_11-5-rgb_front,"So they don't really have much of a symbolic meaning other than maybe life is richer, life is beautiful, but they've become so beautifully stylized and so you find them in different illuminative being rendered in very different ways.",Positive
--8pSDeC-fg_14-5-rgb_front,"By doing cognitive therapy and working on those thoughts, we can help our clients to feel better about themselves by gaining a more accurate appraisal of themselves, their situation and their environment.",Positive
-00cp1iGiDw_10_11-5-rgb_front,"Now make sure your client is comfortable in the side position, supporting your head, knee supported, arms are resting in front comfortably.",Positive
-06_nJnhORg_0-5-rgb_front,"Always giving a little bit of Meta, a little loving kindness as you finish.",Positive
-06_nJnhORg_19-5-rgb_front,So if you taken your dog to a place or a friends house or to a training school and you believe that there are fleas there and your dog may have gotten fleas this is a great product to use when you are about to leave before you bring your dog to your home.,Positive
-06_nJnhORg_9-5-rgb_front,So there is something called sentinel and this is a monthly tablet and sentinel actually prevents not only fleas but heart worm as well and the come individually wrap packages.,Positive
-08ZGCviCm4_8-5-rgb_front,"So I...I continued to fight through it, fight through it...didn't feel real great.",Negative
-0FA6OhxZSE_10-5-rgb_front,In this clip I am going to talk about a great drill that is really going to help you to shift your weight forward.,Positive
-0FA6OhxZSE_3-5-rgb_front,"Just using a shaft would be a great drill to use because when we're throwing something forward we're throwing a Frisbee, if we're throwing a ball the natural motion is to throw the weight with it.",Positive
-0JdYlTf9Y8_0_1-5-rgb_front,"This recipe what my grandmother use to do this and I hope you enjoy it, I hope you make it, it's really fun and fast.",Positive
-0N0jbyBW6g_1-5-rgb_front,"I'm left-handed but I played sports with right, so I do squeegee with the right hand.",Positive
-0oP2H0vAGY_11-5-rgb_front,"Now, we're going to talk about some advanced tactics, and the importance of employing all that you've learned in terms of individual drilling, and all of the basic tactical awarenesses and skills you need to have, to function as a highly effective player.",Positive
-0oP2H0vAGY_3-5-rgb_front,One important reason for the benefit of home schooling is academic success.,Positive
-0oP2H0vAGY_9-5-rgb_front,Home schooling can provide a great opportunity for family unity.,Positive
-0sphqZT1eQ_3-5-rgb_front,It is important to understand that home schooling allows for great flexibility.,Positive
-0sphqZT1eQ_6-5-rgb_front,When the murderer chooses they will choose a victim and kill them.,Negative
-0sphqZT1eQ_8-5-rgb_front,So just scratching the inside of the hand but doing it very discreetly so that no one else sees when the victim has been killed.,Negative
-0yRaqY7nTE_0-5-rgb_front,"So if I was to kill David ""hi, how are you"", he's going to shake three more hands and on the third hand die.",Negative
-0yRaqY7nTE_1-5-rgb_front,"""Aahh"", good, then we have our victim dead lying on the floor and the rest of us have to try to figure out who killed him.",Negative
-0yRaqY7nTE_10-5-rgb_front,"Now again only the person running the game and the person that's dead knows, but the person that's dead can't say anything.",Negative
-1PeVdIwiq0_18-8-rgb_front,Now the best thing you can do first of all is to clear your car out with all the stuff that you would like and take your license plates off.,Positive
-1PeVdIwiq0_4-8-rgb_front,"And let's get our spoon, so if you find yourself in San Juan and the temperature is really getting to you, just really need something that's going to quench your thirst and cool you down, and at the same time maybe loosen you up a little bit, you can order the San Juan Cooler, or if you're just in a bar in Northern Idaho and decide you'd like a nice cocktail, you can order a San Juan Cooler there as well.",Positive
-1Uik-vwQoc_4-5-rgb_front,"If they say they can't sell you the car and they really can't, then they won't, but there's no reason why you can't come back tomorrow and try again, but if they come chasing you out the door and they say ok ok we want to sell you the car, then you can feel like you got a good deal.",Positive
-1rM0t5FMiE_4-5-rgb_front,"And you have to, you'll have to try it to get it right, but you have to perfect your technique 'cause you want to go from the base of the knife near the guard all the way to the tip.",Positive
-23PZTqtDBw_7-5-rgb_front,The straight pair of scissors that are straight and long and then curved pair of scissors that help with around the feet and areas like that.,Positive
-4Sl9mPOlfA_4-3-rgb_front,"But you see you can insert these a lot further, rather than having a hand held lighter and trying to get your hand in there.",Positive
-6PULg1jlpc_6-5-rgb_front,"I like to put the glue bottle down sideways like this because it?s a little bit quicker, you don't have to let the glue run all the way down like when you put it upright.",Positive
-6YYqn8lplg_17-5-rgb_front,Make sure you have water and you have a towel or some paper towels and cotton to help you clean up.,Positive
-6YYqn8lplg_8-5-rgb_front,"Now there's a bunch of different kinds of petunias, which we've talked about in the past in different things, but the Wave Petunia is one that you'll find great for a hanging basket, or as a bedding plant where you want it to spill over into another area.",Positive
-6vHGMCTYyI_0-5-rgb_front,"Now petunias are fairly heavy feeders, so I'd make sure that you give it about every week or two about half strength with a good water soluble plant food.",Positive
-6vHGMCTYyI_1-5-rgb_front,"You might also when you plant them, make sure it's got good peat and pearl like combination.",Positive
-7BtY3iQIdo_16-8-rgb_front,"Ismene or Peruvian Daffodil is a plant we sell in the summertime that's from Peru where the Incas developed it, so I like to think here we are 10,000 years later or 20,000 years later still enjoying a plant that their civilization created for us.",Positive
-7BtY3iQIdo_17-8-rgb_front,"They're beautiful, beautiful plants.",Positive
